City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kavieng,PG,83.89,light rain,-2.57,150.8,Nusa Island Retreat
13,Butaritari,KI,83.91,clear sky,3.07,172.79,Isles Sunset Lodge
16,Marawi,PH,82.0,broken clouds,8.0,124.29,Salihmaruhom
17,Cabo San Lucas,MX,86.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
23,Zhuhai,CN,80.6,light intensity shower rain,22.28,113.57,珠海粤财假日酒店
25,Havelock,US,81.0,clear sky,34.88,-76.9,Sherwood Motel
31,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
33,Atuona,PF,79.11,clear sky,-9.8,-139.03,Villa Enata
39,Vanimo,PG,86.88,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
51,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
55,Sao Felix Do Xingu,BR,77.85,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
58,Cabo Rojo,PR,82.0,few clouds,18.09,-67.15,Hotel Perichi's
59,Puerto Leguizamo,CO,79.77,broken clouds,-0.19,-74.78,la casona de juancho
63,Kutum,SD,75.42,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
64,Majene,ID,83.89,broken clouds,-3.54,118.97,Kost Putri RABBANI
66,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
68,Kavaratti,IN,81.68,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
70,Paka,MY,82.4,few clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
73,Plainview,US,75.0,clear sky,40.78,-73.47,Holiday Inn Plainview-Long Island
79,Sao Filipe,CV,77.92,broken clouds,14.9,-24.5,Tortuga B&B
86,Trincomalee,LK,82.89,overcast clouds,8.57,81.23,Welcombe Hotel
88,Shache,CN,82.29,overcast clouds,38.42,77.24,Delong Hotel
92,Aswan,EG,84.78,clear sky,24.09,32.91,Nuba Nile
94,Matamoros,MX,87.8,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
95,Hithadhoo,MV,84.33,scattered clouds,-0.6,73.08,Scoop Guest House
98,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
100,Kupang,ID,87.8,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
102,Trairi,BR,77.38,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
105,Las Tunas,CU,77.0,broken clouds,20.96,-76.95,Hotel Cadillac
108,Nouakchott,MR,80.6,scattered clouds,18.09,-15.98,Hôtel Iman
109,Labuan,MY,86.0,few clouds,5.28,115.24,Tiara Labuan Hotel
115,Kapaa,US,82.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
118,Hirara,JP,89.6,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
119,Leander,US,90.0,clear sky,30.58,-97.85,NW Austin KOA Holiday
127,Salinopolis,BR,79.56,clear sky,-0.61,-47.36,Hotel Salinópolis
130,Lohardaga,IN,77.0,light rain,23.43,84.68,Vanwashi kalyan kendr
132,Calituban,PH,84.2,overcast clouds,10.24,124.29,Mahaba Island Beach Resort
136,Cardston,CA,82.99,scattered clouds,49.2,-113.3,Flamingo Motel
139,Sola,VU,79.03,overcast clouds,-13.88,167.55,Leumerus Bungalows
146,Loharu,IN,89.73,moderate rain,28.45,75.82,Sainik Guest House
154,Bahia Honda,CU,79.9,clear sky,22.9,-83.16,Casa Gualberto - Deysi
156,Mount Isa,AU,86.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
158,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
159,Newport Beach,US,80.01,broken clouds,33.62,-117.93,Holiday Inn Express Newport Beach
161,Manggar,ID,83.68,broken clouds,-2.88,108.27,Guest Hotel
162,Diffa,NE,80.44,broken clouds,13.32,12.61,ProDAF/Diffa
164,Savannah Bight,HN,84.36,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
169,Boa Vista,BR,80.6,few clouds,2.82,-60.67,Aipana Plaza Hotel
178,Naliya,IN,83.88,overcast clouds,23.27,68.83,Hotel Panchvati
181,Gat,IL,75.99,clear sky,31.61,34.76,רגע בנחת
182,Airai,TL,75.43,clear sky,-8.93,125.41,Juvinal Martin
183,Umm Lajj,SA,84.63,few clouds,25.02,37.27,Moon light Furnished Units
188,Tabas,IR,82.4,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
192,Ixtapa,MX,78.8,moderate rain,20.7,-105.2,Container Inn Puerto Vallarta
194,Baker City,US,84.2,clear sky,44.77,-117.83,Bridge Street Inn
196,Portland,US,82.4,smoke,45.52,-122.68,Portland Marriott City Center
201,Victoria,HK,81.0,light intensity shower rain,22.29,114.16,Mini Hotel Central
203,Oranjestad,AW,82.4,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
209,Khash,IR,80.24,few clouds,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
210,Catanzaro,IT,77.0,scattered clouds,38.89,16.6,Benny Hotel
212,Japura,ID,85.44,overcast clouds,-0.32,102.35,Rumah mbah Jamah
216,Darnah,LY,75.42,clear sky,32.77,22.64,زاوية الرفاعي
222,Auki,SB,84.31,light rain,-8.77,160.7,Auki Motel
229,Mackay,AU,88.0,clear sky,-21.15,149.2,International Lodge Motel
233,Yinchuan,CN,75.76,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
234,Padang,ID,83.05,overcast clouds,-0.95,100.35,Mercure Padang
236,Olinda,BR,77.0,few clouds,-8.01,-34.86,Hotel 5 Sóis
240,Nova Olimpia,BR,81.5,broken clouds,-14.8,-57.29,Motel glamour
241,Porto Novo,BJ,75.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
242,Aku,NG,80.6,scattered clouds,6.71,7.32,Diewa Hotel And Resort
245,Jonuta,MX,77.11,overcast clouds,18.08,-92.13,Hotel There
249,Road Town,VG,84.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
251,Makakilo City,US,87.8,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
255,Dingle,PH,83.16,overcast clouds,11.0,122.67,Camp Pasica
256,Port Blair,IN,84.02,overcast clouds,11.67,92.75,Fortune Resort Bay Island
259,Axim,GH,75.4,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
266,Bac Lieu,VN,82.81,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
268,Campoverde,PE,82.67,overcast clouds,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
270,Lorengau,PG,85.37,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
271,Tricase,IT,77.0,broken clouds,39.93,18.36,Hotel Adriatico
272,Eyl,SO,78.51,few clouds,7.98,49.82,Amiin Hotel
275,Bubaque,GW,80.73,moderate rain,11.28,-15.83,Casa Dora
282,Faanui,PF,77.77,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Tura,IN,82.4,few clouds,25.52,90.22,Hotel RIKMAN Continental
287,Takoradi,GH,75.43,light rain,4.88,-1.76,Raybow International Hotel
288,Bengkulu,ID,86.54,few clouds,-3.8,102.27,Grage Hotel Bengkulu
290,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
291,Barabai,ID,86.23,broken clouds,-2.58,115.38,Joko Homestay
296,Palauig,PH,84.79,light rain,15.44,119.9,Myhousebythesea
298,Ouro Preto Do Oeste,BR,80.19,clear sky,-10.75,-62.22,Graúna Resort Hotel
299,Jishou,CN,89.76,light rain,28.32,109.72,7Days Inn Jishou Railway Station
319,Dyersburg,US,75.2,clear sky,36.03,-89.39,Hampton Inn Dyersburg
321,Trinidad,BO,86.79,scattered clouds,-14.83,-64.9,Hotel Piesta
326,Puerto Escondido,MX,81.34,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
335,Banda Aceh,ID,85.05,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
336,Fukue,JP,89.6,scattered clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
337,Bandrele,YT,75.2,light rain,-12.91,45.19,Les Baobabs
339,Weligama,LK,81.77,overcast clouds,5.97,80.42,Weligama Bay Resort
