City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lattes,FR,43.57,3.9,69.8,64,79,3.36,broken clouds
1,Turtas,RU,58.94,69.13,56.16,87,1,3.09,clear sky
2,Nekrasovskoye,RU,57.68,40.37,41.0,100,0,3.96,clear sky
3,Rikitea,PF,-23.12,-134.97,71.85,81,38,8.19,scattered clouds
4,Purranque,CL,-40.92,-73.17,37.4,100,66,2.44,broken clouds
5,Kavieng,PG,-2.57,150.8,83.89,72,34,7.92,light rain
6,Ushuaia,AR,-54.8,-68.3,32.0,90,40,8.05,scattered clouds
7,Pevek,RU,69.7,170.31,44.06,71,53,12.3,broken clouds
8,Qaanaaq,GL,77.48,-69.36,44.04,81,100,5.23,light rain
9,Vaini,TO,-21.2,-175.2,73.4,100,90,12.75,moderate rain
10,Bredasdorp,ZA,-34.53,20.04,42.8,87,81,5.82,broken clouds
11,Naze,JP,28.37,129.48,91.4,70,20,10.29,few clouds
12,Khudumelapye,BW,-23.88,24.75,32.59,70,0,10.13,clear sky
13,Butaritari,KI,3.07,172.79,83.91,68,0,9.64,clear sky
14,Ponta Do Sol,PT,32.67,-17.1,71.6,78,20,1.57,few clouds
15,Luderitz,NA,-26.65,15.16,53.82,46,0,15.03,clear sky
16,Marawi,PH,8.0,124.29,82.0,76,56,4.0,broken clouds
17,Cabo San Lucas,MX,22.89,-109.91,86.0,51,90,6.93,overcast clouds
18,Pidhorodne,UA,48.58,35.11,64.4,63,80,5.28,broken clouds
19,Busselton,AU,-33.65,115.33,60.01,59,32,3.51,scattered clouds
20,Bluff,NZ,-46.6,168.33,59.0,78,87,4.0,light rain
21,Ribeira Grande,PT,38.52,-28.7,71.11,79,78,20.02,broken clouds
22,Gejiu,CN,23.31,103.16,63.72,99,100,1.21,light rain
23,Zhuhai,CN,22.28,113.57,80.6,88,75,27.51,light intensity shower rain
24,Mulatupo,PA,8.95,-77.77,78.24,87,100,4.52,overcast clouds
25,Havelock,US,34.88,-76.9,81.0,88,1,4.56,clear sky
26,Albany,US,42.6,-73.97,66.99,95,0,4.7,clear sky
27,Mataura,NZ,-46.19,168.86,54.97,81,76,2.15,light rain
28,Nikolskoye,RU,59.7,30.79,50.0,87,0,4.47,fog
29,Puerto Ayora,EC,-0.74,-90.35,66.99,95,86,5.01,overcast clouds
30,Carnarvon,AU,-24.87,113.63,66.2,52,27,16.11,scattered clouds
31,Avarua,CK,-21.21,-159.78,75.2,73,47,25.28,light rain
32,Arraial Do Cabo,BR,-22.97,-42.03,73.4,83,0,13.87,clear sky
33,Atuona,PF,-9.8,-139.03,79.11,73,1,20.74,clear sky
34,Aklavik,CA,68.22,-135.01,62.6,51,20,8.05,few clouds
35,Mahebourg,MU,-20.41,57.7,71.6,68,75,13.87,broken clouds
36,New Norfolk,AU,-42.78,147.06,53.01,80,61,1.99,light rain
37,Kahramanmaras,TR,38.0,37.0,75.2,64,0,6.93,clear sky
38,Cape Town,ZA,-33.93,18.42,48.99,81,20,1.12,few clouds
39,Vanimo,PG,-2.67,141.3,86.88,58,100,6.6,light rain
40,Castro,BR,-24.79,-50.01,57.72,93,90,6.42,overcast clouds
41,Kalemie,CD,-5.95,29.19,69.67,46,0,2.35,clear sky
42,Port Alfred,ZA,-33.59,26.89,53.42,69,35,26.91,scattered clouds
43,Mwense,ZM,-10.38,28.7,60.44,44,5,2.15,clear sky
44,Solnechnyy,RU,50.72,136.63,65.26,58,17,4.29,light rain
45,Tuktoyaktuk,CA,69.45,-133.04,62.6,59,40,4.7,scattered clouds
46,Svetlyy,RU,54.67,20.13,62.6,82,24,4.47,few clouds
47,Yellowknife,CA,62.46,-114.35,63.0,72,75,9.17,broken clouds
48,Teya,RU,60.38,92.63,66.87,50,100,5.19,overcast clouds
49,Lebu,CL,-37.62,-73.65,44.46,73,0,13.09,clear sky
50,Narsaq,GL,60.92,-46.05,48.2,66,0,5.82,clear sky
51,Kahului,US,20.89,-156.47,89.6,46,20,21.92,few clouds
52,Katsuura,JP,35.13,140.3,93.0,70,75,5.82,broken clouds
53,Punta Arenas,CL,-53.15,-70.92,33.8,69,86,6.93,overcast clouds
