City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-08-17 21:00:08,42.6,-73.97,75.99,59,4,6.91
1,Chuy,UY,2020-08-17 21:01:18,-33.7,-53.46,49.91,76,0,6.17
2,Hammerfest,NO,2020-08-17 21:01:19,70.66,23.68,44.6,93,75,28.86
3,Beloha,MG,2020-08-17 20:56:47,-25.17,45.05,64.69,94,27,8.52
4,Barrow,US,2020-08-17 20:56:31,71.29,-156.79,46.4,87,75,20.8
5,Castro,BR,2020-08-17 21:01:20,-24.79,-50.01,60.85,95,100,6.78
6,San Jose Del Boqueron,HN,2020-08-17 21:01:20,15.48,-87.87,89.6,55,75,11.41
7,Bethel,US,2020-08-17 20:58:32,41.37,-73.41,78.01,74,54,4.81
8,Hermanus,ZA,2020-08-17 21:01:20,-34.42,19.23,48.99,77,94,5.99
9,Sitka,US,2020-08-17 20:56:35,57.05,-135.33,57.2,82,75,4.7
10,Palu,ID,2020-08-17 21:01:21,-0.89,119.87,71.44,76,100,3.47
11,Port Hardy,CA,2020-08-17 21:01:21,50.7,-127.42,73.4,64,75,10.29
12,Honavar,IN,2020-08-17 21:01:21,14.28,74.45,78.66,86,100,7.14
13,New Norfolk,AU,2020-08-17 21:01:21,-42.78,147.06,46.0,90,70,1.99
14,Husavik,IS,2020-08-17 21:01:22,66.04,-17.34,53.6,87,100,10.29
15,Omaruru,NA,2020-08-17 21:01:22,-21.43,15.93,45.09,56,0,6.44
16,Bredasdorp,ZA,2020-08-17 20:56:37,-34.53,20.04,46.4,81,66,9.17
17,Mar Del Plata,AR,2020-08-17 21:01:04,-38.0,-57.56,59.0,64,0,21.92
18,Hasaki,JP,2020-08-17 21:01:23,35.73,140.83,80.6,100,75,3.36
19,Victoria,HK,2020-08-17 20:57:05,22.29,114.16,80.01,83,100,6.24
20,Hilo,US,2020-08-17 21:00:29,19.73,-155.09,82.4,58,75,6.93
21,Tasiilaq,GL,2020-08-17 21:01:24,65.61,-37.64,51.8,87,40,4.7
22,Aklavik,CA,2020-08-17 20:59:55,68.22,-135.01,57.2,76,75,4.7
23,Straumen,NO,2020-08-17 21:01:24,63.87,11.3,59.0,82,0,2.24
24,Rikitea,PF,2020-08-17 21:01:24,-23.12,-134.97,71.4,78,0,10.45
25,East London,ZA,2020-08-17 21:01:25,-33.02,27.91,60.93,33,92,9.22
26,Port Elizabeth,ZA,2020-08-17 20:56:46,-33.92,25.57,55.4,66,92,29.97
27,Yar-Sale,RU,2020-08-17 20:59:10,66.83,70.83,50.52,93,100,8.14
28,Lavrentiya,RU,2020-08-17 20:58:57,65.58,-171.0,48.74,81,100,3.15
29,Byron Bay,AU,2020-08-17 21:01:26,-28.65,153.62,54.0,75,0,2.24
30,Jamestown,US,2020-08-17 21:00:02,42.1,-79.24,75.0,56,1,9.17
31,Homer,US,2020-08-17 21:01:26,59.64,-151.55,62.01,72,1,6.93
32,Yellowknife,CA,2020-08-17 20:58:50,62.46,-114.35,66.2,52,20,3.36
33,Nanortalik,GL,2020-08-17 21:01:26,60.14,-45.24,49.69,58,42,8.03
34,College,US,2020-08-17 20:59:28,64.86,-147.8,66.0,45,20,9.17
35,Busselton,AU,2020-08-17 21:01:27,-33.65,115.33,52.0,77,97,14.52
36,Westport,US,2020-08-17 21:01:04,41.14,-73.36,79.0,73,27,8.9
37,Qaanaaq,GL,2020-08-17 20:56:36,77.48,-69.36,42.19,62,100,6.98
38,Ushuaia,AR,2020-08-17 21:01:02,-54.8,-68.3,35.6,95,75,4.7
39,Churapcha,RU,2020-08-17 21:01:28,62.0,132.43,48.6,57,100,3.29
40,Vaini,TO,2020-08-17 21:01:28,-21.2,-175.2,71.6,83,75,11.41
41,Haines Junction,CA,2020-08-17 20:59:25,60.75,-137.51,50.88,85,100,1.88
42,Nicoya,CR,2020-08-17 21:01:28,10.15,-85.45,87.8,62,40,4.7
43,Los Llanos De Aridane,ES,2020-08-17 21:01:28,28.66,-17.92,75.2,78,2,13.87
44,Tuatapere,NZ,2020-08-17 21:00:21,-46.13,167.68,35.01,97,89,4.0
45,Airai,TL,2020-08-17 21:00:27,-8.93,125.41,54.72,75,0,2.59
46,Hobart,AU,2020-08-17 21:01:08,-42.88,147.33,46.0,100,40,4.7
